phase,model_velocity_ms
8.245614035087718285e-01,-8.236134206827212978e+00
8.270676691729322849e-01,-8.395656094976260420e+00
8.295739348370927413e-01,-8.557690207924258274e+00
8.320802005012530866e-01,-8.722308903137495406e+00
8.345864661654134320e-01,-8.889587085986427439e+00
8.370927318295738884e-01,-9.059602292966332016e+00
8.395989974937343447e-01,-9.232434774016383017e+00
8.421052631578946901e-01,-9.408167573052857335e+00
8.446115288220550354e-01,-9.586886605639142189e+00
8.471177944862154918e-01,-9.768680732485959695e+00
8.496240601503759482e-01,-9.953641827202188708e+00
8.521303258145362935e-01,-1.014186483639149827e+01
8.546365914786966389e-01,-1.033344782980331900e+01
8.571428571428570953e-01,-1.052849203778579401e+01
8.596491228070175517e-01,-1.072710187273965232e+01
8.621553884711778970e-01,-1.092938493061821070e+01
8.646616541353382424e-01,-1.113545196773860191e+01
8.671679197994986987e-01,-1.134541684724022659e+01
8.696741854636591551e-01,-1.155939644841584801e+01
8.721804511278195005e-01,-1.177751053081534494e+01
8.746867167919798458e-01,-1.199988154343807523e+01
8.771929824561403022e-01,-1.222663436743477483e+01
8.796992481203007586e-01,-1.245789597847250008e+01
8.822055137844611039e-01,-1.269379501219951933e+01
8.847117794486214493e-01,-1.293446121299311358e+01
8.872180451127819056e-01,-1.318002474226825882e+01
8.897243107769423620e-01,-1.343061531794212016e+01
8.922305764411027074e-01,-1.368636115102488127e+01
8.947368421052630527e-01,-1.394738763855342434e+01
8.972431077694235091e-01,-1.421381576397087443e+01
8.997493734335839655e-01,-1.448576014630654107e+01
9.022556390977443108e-01,-1.476332666780268177e+01
9.047619047619046562e-01,-1.504660959557626221e+01
9.072681704260651125e-01,-1.533568809604130045e+01
9.097744360902255689e-01,-1.563062202061490602e+01
9.122807017543859143e-01,-1.593144681707365962e+01
9.147869674185462596e-01,-1.623816739211972759e+01
9.172932330827067160e-01,-1.655075071648348484e+01
9.197994987468671724e-01,-1.686911692341135449e+01
9.223057644110275177e-01,-1.719312860382840213e+01
9.248120300751878631e-01,-1.752257794607578134e+01
9.273182957393483195e-01,-1.785717130436223954e+01
9.298245614035087758e-01,-1.819651070785129932e+01
9.323308270676691212e-01,-1.854007174234291000e+01
9.348370927318294665e-01,-1.888717715088211690e+01
9.373433583959899229e-01,-1.923696541259538506e+01
9.398496240601503793e-01,-1.958835347828979678e+01
9.423558897243107246e-01,-1.993999277966958772e+01
9.448621553884710700e-01,-2.029021760683615483e+01
9.473684210526315264e-01,-2.063698499734667990e+01
9.498746867167919827e-01,-2.097780544596824726e+01
9.523809523809523281e-01,-2.130966409417035123e+01
9.548872180451126734e-01,-2.162893268505067468e+01
9.573934837092731298e-01,-2.193127359617060179e+01
9.598997493734335862e-01,-2.221153884496476394e+01
9.624060150375939315e-01,-2.246366927890101195e+01
9.649122807017542769e-01,-2.268060239589531690e+01
9.674185463659147333e-01,-2.285420151753864815e+01
9.699248120300751896e-01,-2.297522433586624402e+01
