time_days,model_velocity_ms,truth_velocity_ms
1.723247755488970085e+02,1.008347734411307428e+01,1.012678536372106564e+01
1.725263508398634542e+02,9.671284768070293580e+00,9.747829741507700874e+00
1.727279261308298999e+02,9.259892301028035178e+00,9.369163621796808172e+00
1.729295014217963455e+02,8.849390994693482781e+00,8.990862808818024021e+00
1.731310767127627912e+02,8.439870410958111080e+00,8.613002313259517706e+00
1.733326520037292369e+02,8.031418581186487771e+00,8.235656317047771680e+00
1.735342272946957110e+02,7.624121968095991519e+00,7.858898139435703811e+00
1.737358025856621566e+02,7.218065430221802359e+00,7.482800204421607759e+00
1.739373778766286023e+02,6.813332188963717506e+00,7.107434009517255902e+00
1.741389531675950479e+02,6.410003798200454739e+00,6.732870095881871464e+00
1.743405284585614936e+02,6.008160116455281141e+00,6.359178019834400786e+00
1.745421037495279393e+02,5.607879281589210230e+00,5.986426325756006861e+00
1.747436790404944134e+02,5.209237687994424881e+00,5.614682520388484477e+00
1.749452543314608590e+02,4.812309966257661387e+00,5.244013048536273480e+00
1.751468296224273047e+02,4.417168965252709967e+00,4.874483270171570126e+00
1.753484049133937503e+02,4.023885736628860954e+00,4.506157438945524341e+00
1.755499802043601960e+02,3.632529521641775005e+00,4.139098682100092574e+00
1.757515554953266701e+02,3.243167740289327305e+00,3.773368981777471376e+00
1.759531307862931158e+02,2.855865982691240035e+00,3.409029157719692282e+00
1.761547060772595614e+02,2.470688002666551863e+00,3.046138851346992471e+00
1.763562813682260071e+02,2.087695713447808021e+00,2.684756511205535379e+00
1.765578566591924528e+02,1.706949185473691788e+00,2.324939379769394687e+00
1.767594319501588984e+02,1.328506646199036023e+00,1.966743481581576525e+00
1.769610072411253725e+02,9.524244818589653327e-01,1.610223612715565356e+00
1.771625825320918182e+02,5.787572411210364365e-01,1.255433331539738351e+00
1.773641578230582638e+02,2.075576405593988483e-01,9.024249507613002486e-01
1.775657331140247095e+02,-1.611234281155589088e-01,5.512495307293825419e-01
